Id,Name,Type,Rarity,Introduction,skillGemParam ID
1904,Unavailable,Normal,rare4,Unavailable,
1905,Unavailable,Normal,rare4,Unavailable,
1906,Fatal Rendclaw,Material,rare10,Very rare Odogaron material. The Guiding Lands' energy fortifies the monsters living there.,
1907,Tempered Rendclaw,Material,rare10,Very rare Tempered Odogaron material. A product of the brutal power struggle in the Guiding Lands.,
1908,Soulrender Talon,Material,rare10,Very rare Ebony Odogaron material. The Guiding Lands' energy fortifies the monsters living there.,
1909,Tempered Talon,Material,rare10,Very rare Tempered Ebony Odogaron material. A product of the brutal power struggle in the Guiding Lands.,
1910,King's Scale,Material,rare10,Very rare Rathalos material. The Guiding Lands' energy fortifies the monsters living there.,
1911,Tempered Red Scale,Material,rare10,Very rare Tempered Rathalos material. A product of the brutal power struggle in the Guiding Lands.,
1912,Azure Scale,Material,rare10,Very rare Azure Rathalos material. The Guiding Lands' energy fortifies the monsters living there.,
1913,Tempered Azure Scale,Material,rare10,Very rare Tempered Azure Rathalos material. A product of the brutal power struggle in the Guiding Lands.,
1914,Twisted Bravehorn,Material,rare10,Very rare Diablos material. The Guiding Lands' energy fortifies the monsters living there.,
1915,Twisted Temperhorn,Material,rare10,Very rare Tempered Diablos material. A product of the brutal power struggle in the Guiding Lands.,
1916,Blackcurl Tyranthorn,Material,rare10,Very rare Black Diablos material. The Guiding Lands' energy fortifies the monsters living there.,
1917,Blackcurl Temperhorn,Material,rare10,Very rare Tempered Black Diablos material. A product of the brutal power struggle in the Guiding Lands.,
1918,Assassin Cutwing,Material,rare10,Very rare Nargacuga material. The Guiding Lands' energy fortifies the monsters living there.,
1919,Tempered Cutwing,Material,rare10,Very rare Tempered Nargacuga material. A product of the brutal power struggle in the Guiding Lands.,
1920,Smoldering Tailedge,Material,rare10,Very rare Glavenus material. The Guiding Lands' energy fortifies the monsters living there.,
1921,Tempered Tailedge,Material,rare10,Very rare Tempered Glavenus material. A product of the brutal power struggle in the Guiding Lands.,
1922,Honed Tailblade,Material,rare10,Very rare Acidic Glavenus material. The Guiding Lands' energy fortifies the monsters living there.,
1923,Tempered Tailblade,Material,rare10,Very rare Tempered Acidic Glavenus material. A product of the brutal power struggle in the Guiding Lands.,
1924,Unavailable,Normal,rare4,Unavailable,
1925,Unavailable,Normal,rare4,Unavailable,
1926,Strongman's Jaw,Material,rare10,Very rare Tigrex material. The Guiding Lands' energy fortifies the monsters living there.,
1927,Tempered Jaw,Material,rare10,Very rare Tempered Tigrex material. A product of the brutal power struggle in the Guiding Lands.,
1928,Shuddering Darkjaw,Material,rare10,Very rare Brute Tigrex material. The Guiding Lands' energy fortifies the monsters living there.,
1929,Tempered Ebonjaw,Material,rare10,Very rare Tempered Brute Tigrex material. A product of the brutal power struggle in the Guiding Lands.,
1930,Charged Deathly Shocker,Material,rare10,Very rare Zinogre material. The Guiding Lands' energy fortifies the monsters living there.,
1931,Tempered Shocker,Material,rare10,Very rare Tempered Zinogre material. A product of the brutal power struggle in the Guiding Lands.,
1932,Unavailable,Normal,rare4,Unavailable,
1933,Unavailable,Normal,rare4,Unavailable,
1934,Bloodstained Ebonhide,Material,rare11,Very rare Savage Deviljho material. The Guiding Lands' energy fortifies the monsters living there.,
1935,Spattered Hide,Material,rare11,Very rare Tempered Savage Deviljho material. A product of the brutal power struggle in the Guiding Lands.,
1936,Solemn Azure Horn,Material,rare11,Very rare Kirin material. The Guiding Lands' energy fortifies the monsters living there.,
1937,Tempered Azure Horn,Material,rare11,Very rare Tempered Kirin material. A product of the brutal power struggle in the Guiding Lands.,
1938,Hellfire Mane,Material,rare11,Very rare Teostra material. The Guiding Lands' energy fortifies the monsters living there.,
1939,Tempered Crimson Mane,Material,rare11,Very rare Tempered Teostra material. A product of the brutal power struggle in the Guiding Lands.,
1940,Stormcall Steelwing,Material,rare11,Very rare Kushala Daora material. The Guiding Lands' energy fortifies the monsters living there.,
1941,Tempered Steelwing,Material,rare11,Very rare Tempered Kushala Daora material. A product of the brutal power struggle in the Guiding Lands.,
1942,Azure Mane,Material,rare11,Very rare Lunastra material. The Guiding Lands' energy fortifies the monsters living there.,
1943,Tempered Azure Mane,Material,rare11,Very rare Tempered Lunastra material. A product of the brutal power struggle in the Guiding Lands.,
1944,Aurora Crownhorn,Material,rare11,Very rare Velkhana material. The Guiding Lands' energy fortifies the monsters living there.,
1945,Tempered Crownhorn,Material,rare11,Very rare Tempered Velkhana material. A product of the brutal power struggle in the Guiding Lands.,
1946,Twilight Fang,Material,rare11,Very rare Blackveil Vaal Hazak material. The Guiding Lands' energy fortifies the monsters living there.,
1947,Tempered Twilight Fang,Material,rare11,Very rare Tempered Blackveil Vaal Hazak material. A product of the brutal power struggle in the Guiding Lands.,
1948,Enchanting Finehide,Material,rare11,Very rare Namielle material. The Guiding Lands' energy fortifies the monsters living there.,
1949,Tempered Trancehide,Material,rare11,Very rare Tempered Namielle material. A product of the brutal power struggle in the Guiding Lands.,
1950,Extinction Greathorn,Material,rare11,Very rare Ruiner Nergigante material. The Guiding Lands' energy fortifies the monsters living there.,
1951,Unavailable,Normal,rare4,Unavailable,
1952,Moonlight Scale,Material,rare11,Very rare Gold Rathian material. The Guiding Lands' energy fortifies the monsters living there.,
1953,Unavailable,Normal,rare4,Unavailable,
1954,Scorching Scale,Material,rare11,Very rare Silver Rathalos material. The Guiding Lands' energy fortifies the monsters living there.,
1955,Unavailable,Normal,rare4,Unavailable,
1956,Unavailable,Normal,rare4,Unavailable,
1957,Unavailable,Normal,rare4,Unavailable,
1958,Unavailable,Normal,rare4,Unavailable,
1959,Unavailable,Normal,rare4,Unavailable,
1960,Unavailable,Normal,rare4,Unavailable,
1961,Unavailable,Normal,rare4,Unavailable,
1962,Unavailable,Normal,rare4,Unavailable,
1963,Unavailable,Normal,rare4,Unavailable,
1964,Special Scope,Normal,rare1,Enable more precise aiming by attaching a scope to your heavy bowgun.,
1965,Sublime First Wyverian Print,Material,rare6,"A ticket with a handprint, used by the First Wyverians. Exchange it for useful items at the Melding Pot.",
1966,Steam Ticket,Material,rare11,A ticket issued by the Tech Chief to those who support the Steamworks. Show it to the Smithy!,
1967,Giant Dragonvein Coal,Material,rare7,Special coal that contains the earth's energy within. Quite huge. It's the ideal fuel for easy living!,
1968,Phoenix Jewel 3,Jewel,rare11,A decoration that enhances the Coalescence skill.,98
1969,Guardian Jewel 2,Jewel,rare10,A decoration that enhances the Offensive Guard skill.,99
1970,Cooling Jewel 2,Jewel,rare9,A decoration that enhances the Heat Guard skill.,100
1971,Fire Res Jewel+ 4,Jewel,rare9,A decoration that enhances the Fire Resistance skill.,101
1972,Water Res Jewel+ 4,Jewel,rare9,A decoration that enhances the Water Resistance skill.,102
1973,Ice Res Jewel+ 4,Jewel,rare9,A decoration that enhances the Ice Resistance skill.,103
1974,Thunder Res Jewel+ 4,Jewel,rare9,A decoration that enhances the Thunder Resistance skill.,104
1975,Dragon Res Jewel+ 4,Jewel,rare9,A decoration that enhances the Dragon Resistance skill.,105
1976,Blaze Jewel+ 4,Jewel,rare11,A decoration that enhances the Fire Attack skill.,106
1977,Stream Jewel+ 4,Jewel,rare11,A decoration that enhances the Water Attack skill.,107
1978,Frost Jewel+ 4,Jewel,rare11,A decoration that enhances the Ice Attack skill.,108
1979,Bolt Jewel+ 4,Jewel,rare11,A decoration that enhances the Thunder Attack skill.,109
1980,Dragon Jewel+ 4,Jewel,rare11,A decoration that enhances the Dragon Attack skill.,110
1981,Venom Jewel+ 4,Jewel,rare11,A decoration that enhances the Poison Attack skill.,111
1982,Paralyzer Jewel+ 4,Jewel,rare11,A decoration that enhances the Paralysis Attack skill.,112
1983,Sleep Jewel+ 4,Jewel,rare11,A decoration that enhances the Sleep Attack skill.,113
1984,Blast Jewel+ 4,Jewel,rare11,A decoration that enhances the Blast Attack skill.,114
1985,Hard Fire Res Jewel 4,Jewel,rare11,A decoration that enhances the Fire Resistance skill.,115
1986,Hard Water Res Jewel 4,Jewel,rare11,A decoration that enhances the Water Resistance skill.,116
1987,Hard Ice Res Jewel 4,Jewel,rare11,A decoration that enhances the Ice Resistance skill.,117
1988,Hard Thunder Res Jewel 4,Jewel,rare11,A decoration that enhances the Thunder Resistance skill.,118
1989,Hard Dragon Res Jewel 4,Jewel,rare11,A decoration that enhances the Dragon Resistance skill.,119
1990,Antidote Jewel+ 4,Jewel,rare9,A decoration that enhances the Poison Resistance skill.,120
1991,Antipara Jewel+ 4,Jewel,rare9,A decoration that enhances the Paralysis Resistance skill.,121
1992,Pep Jewel+ 4,Jewel,rare9,A decoration that enhances the Sleep Resistance skill.,122
1993,Steadfast Jewel+ 4,Jewel,rare9,A decoration that enhances the Stun Resistance skill.,123
1994,Antiblast Jewel+ 4,Jewel,rare9,A decoration that enhances the Blast Resistance skill.,124
1995,Suture Jewel+ 4,Jewel,rare9,A decoration that enhances the Bleeding Resistance skill.,125
1996,Def Lock Jewel+ 4,Jewel,rare9,A decoration that enhances the Iron Skin skill.,126
1997,Miasma Jewel+ 4,Jewel,rare9,A decoration that enhances the Effluvia Resistance skill.,127
1998,Hungerless Jewel+ 4,Jewel,rare9,A decoration that enhances the Hunger Resistance skill.,128
1999,Recovery Jewel+ 4,Jewel,rare9,A decoration that enhances the Recovery Speed skill.,129
2000,Tip Toe Jewel+ 4,Jewel,rare9,A decoration that enhances the Stealth skill.,130
2001,Intimidator Jewel+ 4,Jewel,rare9,A decoration that enhances the Intimidator skill.,131
2002,Meowster Jewel+ 4,Jewel,rare9,A decoration that enhances the Palico Rally skill.,132
2003,Hard Tip Toe Jewel 4,Jewel,rare9,A decoration that enhances the Stealth skill.,133
2004,Hard Intimidator Jewel 4,Jewel,rare9,A decoration that enhances the Intimidator skill.,134
2005,Hard Meowster Jewel 4,Jewel,rare9,A decoration that enhances the Palico Rally skill.,135
2006,Trueshot Jewel+ 4,Jewel,rare12,A decoration that enhances the Special Ammo Boost skill.,136
2007,Heavy Artillery Jewel+ 4,Jewel,rare9,A decoration that enhances the Heavy Artillery skill.,137
2008,Botany Jewel+ 4,Jewel,rare9,A decoration that enhances the Botanist skill.,138
2009,Geology Jewel+ 4,Jewel,rare9,A decoration that enhances the Geologist skill.,139
2010,Survival Jewel+ 4,Jewel,rare9,A decoration that enhances the Survival Expert skill.,140
2011,Mirewalker Jewel+ 4,Jewel,rare9,A decoration that enhances the Aquatic/Polar Mobility skill.,141
2012,Specimen Jewel+ 4,Jewel,rare9,A decoration that enhances the Entomologist skill.,142
2013,Sonorous Jewel+ 4,Jewel,rare9,A decoration that enhances the Horn Maestro skill.,143
2014,Hard Botany Jewel+ 4,Jewel,rare11,A decoration that enhances the Botanist skill.,144
2015,Hard Geology Jewel 4,Jewel,rare11,A decoration that enhances the Geologist skill.,145
2016,Hard Survival Jewel 4,Jewel,rare11,A decoration that enhances the Survival Expert skill.,146
2017,Hard Specimen Jewel 4,Jewel,rare11,A decoration that enhances the Entomologist skill.,147
2018,Enduring Jewel+ 4,Jewel,rare9,A decoration that enhances the Item Prolonger skill.,148
2019,Defense Jewel+ 4,Jewel,rare9,A decoration that enhances the Defense Boost skill.,149
2020,Hard Enduring Jewel 4,Jewel,rare11,A decoration that enhances the Item Prolonger skill.,150
2021,Hard Defense Jewel 4,Jewel,rare10,A decoration that enhances the Defense Boost skill.,151
2022,Artillery Jewel+ 4,Jewel,rare9,A decoration that enhances the Artillery skill.,152
2023,Earplug Jewel+ 4,Jewel,rare12,A decoration that enhances the Earplugs skill.,153
2024,Wind Resist Jewel+ 4,Jewel,rare12,A decoration that enhances the Windproof skill.,154
2025,Attack Jewel+ 4,Jewel,rare12,A decoration that enhances the Attack Boost skill.,155
2026,Expert Jewel+ 4,Jewel,rare12,A decoration that enhances the Critical Eye skill.,156
2027,Handicraft Jewel+ 4,Jewel,rare12,A decoration that enhances the Handicraft skill.,157
2028,Throttle Jewel+ 4,Jewel,rare11,A decoration that enhances the Latent Power skill.,158
2029,Challenger Jewel+ 4,Jewel,rare11,A decoration that enhances the Agitator skill.,159
2030,Potential Jewel+ 4,Jewel,rare11,A decoration that enhances the Heroics skill.,160
2031,Furor Jewel+ 4,Jewel,rare11,A decoration that enhances the Resentment skill.,161
2032,Physique Jewel+ 4,Jewel,rare10,A decoration that enhances the Constitution skill.,162
2033,Evasion Jewel+ 4,Jewel,rare11,A decoration that enhances the Evade Window skill.,163
2034,Ironwall Jewel+ 4,Jewel,rare10,A decoration that enhances the Guard skill.,164
2035,Friendship Jewel+ 4,Jewel,rare10,A decoration that enhances the Wide-Range skill.,165
2036,Drain/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Stamina Thief and Constitution skills.,166
2037,Fortitude/Physique Jewel 4,Jewel,rare9,A decoration that enhances the Fortify and Constitution skills.,167
2038,Crisis/Physique Jewel 4,Jewel,rare9,A decoration that enhances the Resuscitate and Constitution skills.,168
2039,Ironwall/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Guard and Constitution skills.,169
2040,Friendship/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Wide-Range and Constitution skills.,170
2041,Satiated/Physique Jewel 4,Jewel,rare9,A decoration that enhances the Free Meal and Constitution skills.,171
2042,Stonethrower/Physique Jewel 4,Jewel,rare9,A decoration that enhances the Slinger Capacity and Constitution skills.,172
2043,Resistor/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Blight Resistance and Constitution skills.,173
2044,Flight/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Airborne and Constitution skills.,174
2045,Sprinter/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Marathon Runner and Constitution skills.,175
2046,Refresh/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Stamina Surge and Constitution skills.,176
2047,Jumping/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Evade Extender and Constitution skills.,177
2048,Sheath/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Quick Sheath and Constitution skills.,178
2049,Gobbler/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Speed Eating and Constitution skills.,179
2050,Grinder/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Speed Sharpening and Constitution skills.,180
2051,Bomber/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Bombardier and Constitution skills.,181
2052,Fungiform/Physique Jewel 4,Jewel,rare10,A decoration that enhances the Mushroomancer and Constitution skills.,182
2053,Slider/Physique Jewel 4,Jewel,rare9,A decoration that enhances the Affinity Sliding and Constitution skills.,183
2054,Guardian/Physique Jewel 4,Jewel,rare9,A decoration that enhances the Offensive Guard and Constitution skills.,184
2055,Drain/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Stamina Thief and Evade Window skills.,185
2056,Fortitude/Evasion Jewel 4,Jewel,rare9,A decoration that enhances the Fortify and Evade Window skills.,186
2057,Crisis/Evasion Jewel 4,Jewel,rare9,A decoration that enhances the Resuscitate and Evade Window skills.,187
2058,Ironwall/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Guard and Evade Window skills.,188
2059,Friendship/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Wide-Range and Evade Window skills.,189
2060,Satiated/Evasion Jewel 4,Jewel,rare9,A decoration that enhances the Free Meal and Evade Window skills.,190
2061,Stonethrower/Evasion Jewel 4,Jewel,rare9,A decoration that enhances the Slinger Capacity and Evade Window skills.,191
2062,Resistor/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Blight Resistance and Evade Window skills.,192
2063,Flight/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Airborne and Evade Window skills.,193
2064,Sprinter/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Marathon Runner and Evade Window skills.,194
2065,Refresh/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Stamina Surge and Evade Window skills.,195
2066,Jumping/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Evade Extender and Evade Window skills.,196
2067,Sheath/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Quick Sheath and Evade Window skills.,197
2068,Gobbler/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Speed Eating and Evade Window skills.,198
2069,Grinder/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Speed Sharpening and Evade Window skills.,199
2070,Bomber/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Bombardier and Evade Window skills.,200
2071,Fungiform/Evasion Jewel 4,Jewel,rare10,A decoration that enhances the Mushroomancer and Evade Window skills.,201
2072,Slider/Evasion Jewel 4,Jewel,rare9,A decoration that enhances the Affinity Sliding and Evade Window skills.,202
2073,Guardian/Evasion Jewel 4,Jewel,rare9,A decoration that enhances the Offensive Guard and Evade Window skills.,203
2074,Drain/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Stamina Thief and Attack Boost skills.,204
2075,Fortitude/Attack Jewel 4,Jewel,rare9,A decoration that enhances the Fortify and Attack Boost skills.,205
2076,Crisis/Attack Jewel 4,Jewel,rare9,A decoration that enhances the Resuscitate and Attack Boost skills.,206
2077,Ironwall/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Guard and Attack Boost skills.,207
2078,Friendship/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Wide-Range and Attack Boost skills.,208
2079,Satiated/Attack Jewel 4,Jewel,rare9,A decoration that enhances the Free Meal and Attack Boost skills.,209
2080,Stonethrower/Attack Jewel 4,Jewel,rare9,A decoration that enhances the Slinger Capacity and Attack Boost skills.,210
2081,Resistor/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Blight Resistance and Attack Boost skills.,211
2082,Flight/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Airborne and Attack Boost skills.,212
2083,Sprinter/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Marathon Runner and Attack Boost skills.,213
2084,Refresh/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Stamina Surge and Attack Boost skills.,214
2085,Jumping/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Evade Extender and Attack Boost skills.,215
2086,Sheath/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Quick Sheath and Attack Boost skills.,216
2087,Gobbler/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Speed Eating and Attack Boost skills.,217
2088,Grinder/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Speed Sharpening and Attack Boost skills.,218
2089,Bomber/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Bombardier and Attack Boost skills.,219
2090,Fungiform/Attack Jewel 4,Jewel,rare10,A decoration that enhances the Mushroomancer and Attack Boost skills.,220
2091,Slider/Attack Jewel 4,Jewel,rare9,A decoration that enhances the Affinity Sliding and Attack Boost skills.,221
2092,Guardian/Attack Jewel 4,Jewel,rare9,A decoration that enhances the Offensive Guard and Attack Boost skills.,222
2093,Drain/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Stamina Thief and Critical Eye skills.,223
2094,Fortitude/Expert Jewel 4,Jewel,rare9,A decoration that enhances the Fortify and Critical Eye skills.,224
2095,Crisis/Expert Jewel 4,Jewel,rare9,A decoration that enhances the Resuscitate and Critical Eye skills.,225
2096,Ironwall/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Guard and Critical Eye skills.,226
2097,Friendship/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Wide-Range and Critical Eye skills.,227
2098,Satiated/Expert Jewel 4,Jewel,rare9,A decoration that enhances the Free Meal and Critical Eye skills.,228
2099,Stonethrower/Expert Jewel 4,Jewel,rare9,A decoration that enhances the Slinger Capacity and Critical Eye skills.,229
2100,Resistor/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Blight Resistance and Critical Eye skills.,230
2101,Flight/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Airborne and Critical Eye skills.,231
2102,Sprinter/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Marathon Runner and Critical Eye skills.,232
2103,Refresh/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Stamina Surge and Critical Eye skills.,233
2104,Jumping/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Evade Extender and Critical Eye skills.,234
2105,Sheath/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Quick Sheath and Critical Eye skills.,235
2106,Gobbler/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Speed Eating and Critical Eye skills.,236
2107,Grinder/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Speed Sharpening and Critical Eye skills.,237
2108,Bomber/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Bombardier and Critical Eye skills.,238
2109,Fungiform/Expert Jewel 4,Jewel,rare10,A decoration that enhances the Mushroomancer and Critical Eye skills.,239
2110,Slider/Expert Jewel 4,Jewel,rare9,A decoration that enhances the Affinity Sliding and Critical Eye skills.,240
2111,Guardian/Expert Jewel 4,Jewel,rare9,A decoration that enhances the Offensive Guard and Critical Eye skills.,241
2112,Drain/Release Jewel 4,Jewel,rare11,A decoration that enhances the Stamina Thief and Free Element/Ammo Up skills.,242
2113,Fortitude/Release Jewel 4,Jewel,rare10,A decoration that enhances the Fortify and Free Element/Ammo Up skills.,243
2114,Crisis/Release Jewel 4,Jewel,rare10,A decoration that enhances the Resuscitate and Free Element/Ammo Up skills.,244
2115,Ironwall/Release Jewel 4,Jewel,rare11,A decoration that enhances the Guard and Free Element/Ammo Up skills.,245
2116,Friendship/Release Jewel 4,Jewel,rare11,A decoration that enhances the Wide-Range and Free Element/Ammo Up skills.,246
2117,Satiated/Release Jewel 4,Jewel,rare10,A decoration that enhances the Free Meal and Free Element/Ammo Up skills.,247
2118,Stonethrower/Release Jewel 4,Jewel,rare10,A decoration that enhances the Slinger Capacity and Free Element/Ammo Up skills.,248
2119,Resistor/Release Jewel 4,Jewel,rare11,A decoration that enhances the Blight Resistance and Free Element/Ammo Up skills.,249
2120,Flight/Release Jewel 4,Jewel,rare11,A decoration that enhances the Airborne and Free Element/Ammo Up skills.,250
2121,Sprinter/Release Jewel 4,Jewel,rare11,A decoration that enhances the Marathon Runner and Free Element/Ammo Up skills.,251
2122,Refresh/Release Jewel 4,Jewel,rare11,A decoration that enhances the Stamina Surge and Free Element/Ammo Up skills.,252
2123,Jumping/Release Jewel 4,Jewel,rare11,A decoration that enhances the Evade Extender and Free Element/Ammo Up skills.,253
2124,Sheath/Release Jewel 4,Jewel,rare11,A decoration that enhances the Quick Sheath and Free Element/Ammo Up skills.,254
2125,Gobbler/Release Jewel 4,Jewel,rare11,A decoration that enhances the Speed Eating and Free Element/Ammo Up skills.,255
2126,Grinder/Release Jewel 4,Jewel,rare11,A decoration that enhances the Speed Sharpening and Free Element/Ammo Up skills.,256
2127,Bomber/Release Jewel 4,Jewel,rare11,A decoration that enhances the Bombardier and Free Element/Ammo Up skills.,257
2128,Fungiform/Release Jewel 4,Jewel,rare11,A decoration that enhances the Mushroomancer and Free Element/Ammo Up skills.,258
2129,Slider/Release Jewel 4,Jewel,rare10,A decoration that enhances the Affinity Sliding and Free Element/Ammo Up skills.,259
2130,Guardian/Release Jewel 4,Jewel,rare10,A decoration that enhances the Offensive Guard and Free Element/Ammo Up skills.,260
2131,Drain/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Stamina Thief and Handicraft skills.,261
2132,Fortitude/Handicraft Jewel 4,Jewel,rare10,A decoration that enhances the Fortify and Handicraft skills.,262
2133,Crisis/Handicraft Jewel 4,Jewel,rare10,A decoration that enhances the Resuscitate and Handicraft skills.,263
2134,Ironwall/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Guard and Handicraft skills.,264
2135,Friendship/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Wide-Range and Handicraft skills.,265
2136,Satiated/Handicraft Jewel 4,Jewel,rare10,A decoration that enhances the Free Meal and Handicraft skills.,266
2137,Stonethrower/Handicraft Jewel 4,Jewel,rare10,A decoration that enhances the Slinger Capacity and Handicraft skills.,267
2138,Resistor/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Blight Resistance and Handicraft skills.,268
2139,Flight/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Airborne and Handicraft skills.,269
2140,Sprinter/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Marathon Runner and Handicraft skills.,270
2141,Refresh/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Stamina Surge and Handicraft skills.,271
2142,Jumping/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Evade Extender and Handicraft skills.,272
2143,Sheath/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Quick Sheath and Handicraft skills.,273
2144,Gobbler/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Speed Eating and Handicraft skills.,274
2145,Grinder/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Speed Sharpening and Handicraft skills.,275
2146,Bomber/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Bombardier and Handicraft skills.,276
2147,Fungiform/Handicraft Jewel 4,Jewel,rare11,A decoration that enhances the Mushroomancer and Handicraft skills.,277
2148,Slider/Handicraft Jewel 4,Jewel,rare10,A decoration that enhances the Affinity Sliding and Handicraft skills.,278
2149,Guardian/Handicraft Jewel 4,Jewel,rare10,A decoration that enhances the Offensive Guard and Handicraft skills.,279
2150,Footing/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Tremor Resistance and Divine Blessing skills.,280
2151,Charger/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Focus and Divine Blessing skills.,281
2152,Enhancer/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Power Prolonger and Divine Blessing skills.,282
2153,Destroyer/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Partbreaker and Divine Blessing skills.,283
2154,KO/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Slugger and Divine Blessing skills.,284
2155,Potential/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Heroics and Divine Blessing skills.,285
2156,Wind Resist/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Windproof and Divine Blessing skills.,286
2157,Draw/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Critical Draw and Divine Blessing skills.,287
2158,Throttle/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Latent Power and Divine Blessing skills.,288
2159,Challenger/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Agitator and Divine Blessing skills.,289
2160,Flawless/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Peak Performance and Divine Blessing skills.,290
2161,Furor/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Resentment and Divine Blessing skills.,291
2162,Mighty/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Maximum Might and Divine Blessing skills.,292
2163,Brace/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Flinch Free and Divine Blessing skills.,293
2164,Phoenix/Protection Jewel 4,Jewel,rare11,A decoration that enhances the Coalescence and Divine Blessing skills.,294
2165,Earplug/Protection Jewel 4,Jewel,rare11,A decoration that enhances the Earplugs and Divine Blessing skills.,295
2166,Critical/Protection Jewel 4,Jewel,rare11,A decoration that enhances the Critical Boost and Divine Blessing skills.,296
2167,Tenderizer/Protection Jewel 4,Jewel,rare11,A decoration that enhances the Weakness Exploit and Divine Blessing skills.,297
2168,Handicraft/Protection Jewel 4,Jewel,rare11,A decoration that enhances the Handicraft and Divine Blessing skills.,298
2169,Release/Protection Jewel 4,Jewel,rare10,A decoration that enhances the Free Element/Ammo Up and Divine Blessing skills.,299
2170,Footing/Medicine Jewel 4,Jewel,rare10,A decoration that enhances the Tremor Resistance and Recovery Up skills.,300
2171,Charger/Medicine Jewel 4,Jewel,rare10,A decoration that enhances the Focus and Recovery Up skills.,301
2172,Enhancer/Medicine Jewel 4,Jewel,rare10,A decoration that enhances the Power Prolonger and Recovery Up skills.,302
